Time,Input,Output
0.503,44.7933,46.3078
0.504,44.4884,45.9
0.505,44.2104,45.5133
0.506,43.9614,45.1547
0.507,43.7433,44.8242
0.508,43.558,44.5219
0.509,43.4066,44.2477
0.51,43.2903,44.0016
0.511,43.2099,43.7766
0.512,43.1657,43.5867
0.513,43.1579,43.418
0.514,43.1863,43.2844
0.515,43.2502,43.1859
0.516,43.3489,43.1297
0.517,43.4812,43.1086
0.518,43.6456,43.1297
0.519,43.8403,43.193
0.52,44.0634,43.2844
0.521,44.3126,43.3969
0.522,44.5854,43.5305
0.523,44.8791,43.6852
0.524,45.1907,43.8609
0.525,45.5174,44.0719
0.526,45.8559,44.3109
0.527,46.2029,44.5711
0.528,46.5552,44.8594
0.529,46.9093,45.1617
0.53,47.2618,45.4781
0.531,47.6095,45.8156
0.532,47.9489,46.1531
0.533,48.2768,46.4906
0.534,48.5902,46.8281
0.535,48.8859,47.1516
0.536,49.1611,47.475
0.537,49.4133,47.7984
0.538,49.6398,48.1078
0.539,49.8385,48.4102
0.54,50.0075,48.6984
0.541,50.1449,48.9516
0.542,50.2494,49.1906
0.543,50.3198,49.3945
0.544,50.3552,49.5703
0.545,50.3552,49.732
0.546,50.3194,49.8375
0.547,50.2481,49.9078
0.548,50.1414,49.943
0.549,50.0002,49.943
0.55,49.8254,49.9148
0.551,49.6184,49.8797
0.552,49.3807,49.8234
0.553,49.114,49.725
0.554,48.8205,49.5984
0.555,48.5025,49.4719
0.556,48.1625,49.2891
0.557,47.8031,49.0781
0.558,47.4272,48.825
0.559,47.0379,48.5438
0.56,46.6381,48.2273
0.561,46.231,47.8898
0.562,45.8199,47.5383
0.563,45.408,47.1094
0.564,44.9985,46.7648
0.565,44.5947,46.35
0.566,44.1996,45.9281
0.567,43.8164,45.4922
0.568,43.4479,45.0773
0.569,43.097,44.6695
0.57,42.7662,44.2828
0.571,42.4581,43.9031
0.572,42.1748,43.5375
0.573,41.9183,43.1789
0.574,41.6904,42.8344
0.575,41.4925,42.5039
0.576,41.3259,42.2016
0.577,41.1915,41.9344
0.578,41.09,41.6953
0.579,41.0216,41.4914
0.58,40.9865,41.3297
0.581,40.9843,41.1891
0.582,41.0145,41.0836
0.583,41.0763,41.0133
0.584,41.1686,40.9641
0.585,41.2899,40.9641
0.586,41.4387,40.9852
0.587,41.6129,41.0414
0.588,41.8106,41.1187
0.589,42.0293,41.2172
0.59,42.2666,41.3367
0.591,42.5198,41.4773
0.592,42.786,41.6391
0.593,43.0625,41.8219
0.594,43.346,42.0258
0.595,43.6336,42.2578
0.596,43.9222,42.5039
0.597,44.2087,42.7922
0.598,44.4899,43.0594
0.599,44.7629,43.3266
0.6,45.0246,43.5516
0.601,45.2722,43.8539
0.602,45.503,44.1211
0.603,45.7144,44.3883
0.604,45.9039,44.6203
0.605,46.0695,44.8734
0.606,46.2089,45.1406
0.607,46.3206,45.3586
0.608,46.4029,45.5555
0.609,46.4546,45.7242
0.61,46.4747,45.8719
0.611,46.4624,45.9844
0.612,46.4174,46.0758
0.613,46.3395,46.132
0.614,46.2287,46.1602
0.615,46.0856,46.1602
0.616,45.9109,46.125
0.617,45.7054,46.0688
0.618,45.4704,45.9844
0.619,45.2075,45.8859
0.62,44.9183,45.7805
0.621,44.6049,45.6328
0.622,44.2693,45.45
0.623,43.9139,45.2039
0.624,43.5412,44.9438
0.625,43.1539,44.6625
0.626,42.7548,44.3461
0.627,42.3466,44.0156
0.628,41.9324,43.6641
0.629,41.515,43.2844
0.63,41.0976,42.9328
0.631,40.683,42.4617
0.632,40.2743,42.0258
0.633,39.8742,41.5969
0.634,39.4856,41.175
0.635,39.1112,40.8164
0.636,38.7534,40.3664
0.637,38.4147,39.9656
0.638,38.0973,39.6211
0.639,37.8032,39.2344
0.64,37.5342,38.8125
0.641,37.2917,38.4469
0.642,37.0773,38.1586
0.643,36.8918,37.8633
0.644,36.7361,37.5891
0.645,36.6108,37.3219
0.646,36.516,37.1039
0.647,36.4519,36.9211
0.648,36.4179,36.7594
0.649,36.4137,36.6328
0.65,36.4383,36.5273
0.651,36.4907,36.457
0.652,36.5695,36.4148
0.653,36.6731,36.4008
0.654,36.7999,36.4219
0.655,36.9476,36.4781
0.656,37.1142,36.5484
0.657,37.2974,36.6328
0.658,37.4946,36.7383
0.659,37.7031,36.8578
0.66,37.9204,36.9914
0.661,38.1435,37.1461
0.662,38.3697,37.3148
0.663,38.5961,37.4977
0.664,38.8198,37.7227
0.665,39.0379,37.9336
0.666,39.2478,38.1445
0.667,39.4466,38.3625
0.668,39.6318,38.5805
0.669,39.8008,38.7984
0.67,39.9514,39.0023
0.671,40.0813,39.1992
0.672,40.1886,39.382
0.673,40.2714,39.5438
0.674,40.3282,39.6914
0.675,40.3576,39.818
0.676,40.3586,39.9234
0.677,40.3302,40.0148
0.678,40.2719,40.0781
0.679,40.1833,40.1203
0.68,40.0644,40.1414
0.681,39.9153,40.1273
0.682,39.7365,40.0922
0.683,39.5288,40.0289
0.684,39.2931,39.9445
0.685,39.0305,39.832
0.686,38.7426,39.6914
0.687,38.431,39.5156
0.688,38.0976,39.3117
0.689,37.7444,39.0727
0.69,37.3735,38.8125
0.691,36.9875,38.5172
0.692,36.5887,38.2008
0.693,36.1797,37.8563
0.694,35.7633,37.5047
0.695,35.3421,37.125
0.696,34.9189,36.6891
0.697,34.4965,36.3375
0.698,34.0776,35.8734
0.699,33.665,35.4445
0.7,33.2612,35.0086
0.701,32.8688,34.5797
0.702,32.4903,34.1578
0.703,32.128,33.7641
0.704,31.7841,33.3703
0.705,31.4605,32.9977
0.706,31.1591,32.625
0.707,30.8814,32.2523
0.708,30.6289,31.8938
0.709,30.4027,31.5563
0.71,30.2037,31.2328
0.711,30.0326,30.9375
0.712,29.8897,30.6844
0.713,29.7754,30.4523
0.714,29.6895,30.2484
0.715,29.6315,30.0727
0.716,29.6011,29.925
0.717,29.5972,29.8055
0.718,29.6189,29.7141
0.719,29.6648,29.6367
0.72,29.7334,29.6086
0.721,29.8231,29.6016
0.722,29.9318,29.6227
0.723,30.0575,29.6789
0.724,30.1981,29.7422
0.725,30.3512,29.8266
0.726,30.5142,29.9109
0.727,30.6848,30.0094
0.728,30.8602,30.1219
0.729,31.0378,30.2414
0.73,31.2151,30.382
0.731,31.3893,30.5297
0.732,31.5577,30.6844
0.733,31.718,30.8531
0.734,31.8675,31.0289
0.735,32.0039,31.2047
0.736,32.1249,31.3805
0.737,32.2283,31.5492
0.738,32.3123,31.7039
0.739,32.375,31.8516
0.74,32.4148,31.9711
0.741,32.4303,32.0766
0.742,32.4204,32.175
0.743,32.384,32.2242
0.744,32.3205,32.2664
0.745,32.2294,32.2805
0.746,32.1104,32.2734
0.747,31.9636,32.2383
0.748,31.7891,32.2031
0.749,31.5876,32.1328
0.75,31.3598,32.0484
0.751,31.1065,31.9359
0.752,30.8291,31.7883
0.753,30.5289,31.6195
0.754,30.2075,31.3875
0.755,29.8667,31.1906
0.756,29.5085,30.9023
0.757,29.1349,30.6141
0.758,28.7482,30.3117
0.759,28.3507,29.9953
0.76,27.9449,29.6508
0.761,27.5333,29.2922
0.762,27.1183,28.9055
0.763,26.7027,28.4555
0.764,26.2889,28.0898
0.765,25.8795,27.6188
0.766,25.477,27.2039
0.767,25.0838,26.8031
0.768,24.7023,26.4023
0.769,24.3348,26.0156
0.77,23.9833,25.6219
0.771,23.6498,25.2352
0.772,23.3361,24.8414
0.773,23.0439,24.4547
0.774,22.7746,24.082
0.775,22.5293,23.7305
0.776,22.3091,23.407
0.777,22.1148,23.0766
0.778,21.947,22.8445
0.779,21.8059,22.5984
0.78,21.6917,22.3734
0.781,21.6041,22.1484
0.782,21.5428,22.0008
0.783,21.5072,21.8531
0.784,21.4964,21.7195
0.785,21.5094,21.6281
0.786,21.5448,21.5648
0.787,21.6013,21.5227
0.788,21.6771,21.5156
0.789,21.7705,21.5227
0.79,21.8795,21.5578
0.791,22.0019,21.6141
0.792,22.1356,21.6773
0.793,22.2783,21.7547
0.794,22.4275,21.832
0.795,22.5809,21.9305
0.796,22.736,22.0359
0.797,22.8903,22.1625
0.798,23.0413,22.3031
0.799,23.1867,22.4438
0.8,23.324,22.5984
0.801,23.4511,22.7531
0.802,23.5657,22.9078
0.803,23.6657,23.0625
0.804,23.7492,23.2031
0.805,23.8144,23.3367
0.806,23.8598,23.4563
0.807,23.8839,23.5547
0.808,23.8854,23.6391
0.809,23.8633,23.7094
0.81,23.8169,23.7516
0.811,23.7455,23.7797
0.812,23.6488,23.7867
0.813,23.5266,23.7656
0.814,23.3789,23.7234
0.815,23.2063,23.6672
0.816,23.0091,23.5898
0.817,22.7881,23.4984
0.818,22.5444,23.3789
0.819,22.279,23.2383
0.82,21.9935,23.0695
0.821,21.6892,22.8797
0.822,21.3681,22.6547
0.823,21.0318,22.4086
0.824,20.6825,22.1344
0.825,20.3222,21.8391
0.826,19.9532,21.5227
0.827,19.5777,21.1781
0.828,19.1982,20.8195
0.829,18.8169,20.4469
0.83,18.4364,20.0813
0.831,18.059,19.7016
0.832,17.687,19.3359
0.833,17.3228,18.9563
0.834,16.9687,18.5836
0.835,16.6268,18.2109
0.836,16.2991,17.8242
0.837,15.9876,17.4445
0.838,15.694,17.0719
0.839,15.4201,16.7203
0.84,15.1672,16.3828
0.841,14.9367,16.0664
0.842,14.7295,15.7711
0.843,14.5466,15.5039
0.844,14.3886,15.2508
0.845,14.256,15.0117
0.846,14.1489,14.8008
0.847,14.0675,14.6109
0.848,14.0114,14.4422
0.849,13.9803,14.3016
0.85,13.9734,14.182
0.851,13.9899,14.0906
0.852,14.0288,14.0273
0.853,14.0888,13.9922
0.854,14.1684,13.9852
0.855,14.2661,13.9992
0.856,14.3801,14.0555
0.857,14.5085,14.1258
