Time,Input,Output
0.409,9.67791,7.28062
0.41,9.7026,7.03613
0.411,9.71785,7.03613
0.412,9.72359,7.26766
0.413,9.7198,7.33258
0.414,9.70659,7.39775
0.415,9.68412,7.33258
0.416,9.65263,7.51573
0.417,9.61245,8.10469
0.418,9.56398,8.11831
0.419,9.5077,8.13194
0.42,9.44414,8.13194
0.421,9.37391,7.90163
0.422,9.29765,8.9832
0.423,9.21609,8.9832
0.424,9.12997,8.75616
0.425,9.04008,8.74205
0.426,8.94725,8.74205
0.427,8.85231,8.91196
0.428,8.75612,9.02607
0.429,8.65956,9.02607
0.43,8.56348,8.95467
0.431,8.46875,8.95467
0.432,8.37622,9.21292
0.433,8.2867,9.43072
0.434,8.20099,9.43072
0.435,8.11984,9.47456
0.436,8.04398,9.65087
0.437,7.97406,9.47456
0.438,7.9107,9.8138
0.439,7.85444,9.22737
0.44,7.80578,9.63612
0.441,7.76513,9.22737
0.442,7.73283,9.0547
0.443,7.70916,9.12646
0.444,7.69431,9.76924
0.445,7.68838,9.12646
0.446,7.69143,9.45994
0.447,7.70339,8.96893
0.448,7.72416,9.45994
0.449,7.75351,9.21292
0.45,7.79119,9.53316
0.451,7.83683,9.21292
0.452,7.89002,8.77027
0.453,7.95026,8.75616
0.454,8.01702,8.75616
0.455,8.08969,8.72796
0.456,8.16761,8.6717
0.457,8.25008,8.50393
0.458,8.33637,8.4206
0.459,8.4257,8.17289
0.46,8.51727,8.15923
0.461,8.61028,8.11831
0.462,8.70389,8.05031
0.463,8.79727,7.7943
0.464,8.8896,7.7943
0.465,8.98007,7.7943
0.466,9.06787,7.74088
0.467,9.15223,7.74088
0.468,9.23242,7.52889
0.469,9.30773,7.52889
0.47,9.3775,7.52889
0.471,9.44112,7.58164
0.472,9.49805,7.66107
0.473,9.54777,7.66107
0.474,9.58988,7.50258
0.475,9.624,7.50258
0.476,9.64984,7.63455
0.477,9.66719,7.63455
0.478,9.67589,7.63455
0.479,9.67589,7.6478
0.48,9.66719,7.76757
0.481,9.64987,7.6478
0.482,9.6241,7.76757
0.483,9.59009,8.06389
0.484,9.54817,8.11831
0.485,9.4987,8.06389
0.486,9.44211,7.96905
0.487,9.3789,8.64364
0.488,9.30963,8.64364
0.489,9.2349,8.74205
0.49,9.15536,8.64364
0.491,9.0717,8.64364
0.492,8.98464,8.64364
0.493,8.89494,8.85516
0.494,8.80336,9.08338
0.495,8.71069,9.08338
0.496,8.61773,9.04038
0.497,8.52525,8.92619
0.498,8.43406,9.34332
0.499,8.34491,9.34332
0.5,8.25856,9.40154
0.501,8.17572,9.28526
0.502,8.09709,9.40154
0.503,8.02332,9.69518
0.504,7.955,9.69518
0.505,7.89269,9.65087
0.506,7.83688,9.65087
0.507,7.78802,9.59193
0.508,7.74647,9.59193
0.509,7.71255,9.59193
0.51,7.68649,9.53316
0.511,7.66846,9.5185
0.512,7.65857,9.47456
0.513,7.65682,9.5185
0.514,7.66317,9.40154
0.515,7.6775,9.25629
0.516,7.69962,9.18406
0.517,7.72927,8.84098
0.518,7.76611,8.61561
0.519,7.80975,8.50393
0.52,7.85975,8.50393
0.521,7.9156,8.55969
0.522,7.97673,8.22765
0.523,8.04255,8.18657
0.524,8.1124,8.00963
0.525,8.18561,8.00963
0.526,8.26147,7.87473
0.527,8.33924,7.8613
0.528,8.41819,7.68763
0.529,8.49754,7.68763
0.53,8.57656,7.67435
0.531,8.65447,7.67435
0.532,8.73054,7.60807
0.533,8.80403,7.43698
0.534,8.87426,7.43698
0.535,8.94053,7.59485
0.536,9.00222,7.59485
0.537,9.05872,7.45008
0.538,9.10949,7.2936
0.539,9.15403,7.2936
0.54,9.19189,7.3847
0.541,9.22269,7.46319
0.542,9.24611,7.46319
0.543,9.26189,7.28062
0.544,9.26983,7.28062
0.545,9.26982,7.28062
0.546,9.26181,7.25471
0.547,9.24581,7.25471
0.548,9.22191,7.25471
0.549,9.19026,7.48944
0.55,9.1511,7.52889
0.551,9.1047,7.52889
0.552,9.05141,7.45008
0.553,8.99165,8.26882
0.554,8.92588,8.26882
0.555,8.85461,8.26882
0.556,8.7784,8.36526
0.557,8.69786,8.36526
0.558,8.61363,8.62962
0.559,8.52636,8.68575
0.56,8.43676,8.69981
0.561,8.34553,8.68575
0.562,8.2534,8.71388
0.563,8.16108,8.88354
0.564,8.06932,8.88354
0.565,7.97881,9.06903
0.566,7.89027,9.18406
0.567,7.80439,9.06903
0.568,7.72181,9.18406
0.569,7.64316,9.21292
0.57,7.56903,9.21292
0.571,7.49997,9.18406
0.572,7.43648,9.06903
0.573,7.37899,9.06903
0.574,7.32791,9.50384
0.575,7.28357,9.40154
0.576,7.24624,9.29976
0.577,7.21612,9.16965
0.578,7.19336,9.0547
0.579,7.17804,8.61561
0.58,7.17016,8.58763
0.581,7.16967,8.61561
0.582,7.17645,8.57365
0.583,7.1903,8.06389
0.584,7.21098,7.9961
0.585,7.23817,7.92857
0.586,7.27151,7.92857
0.587,7.31056,7.8613
0.588,7.35486,7.68763
0.589,7.40388,7.54206
0.59,7.45706,7.54206
0.591,7.5138,7.54206
0.592,7.57347,7.54206
0.593,7.63542,7.35862
0.594,7.69897,7.35862
0.595,7.76343,7.35862
0.596,7.82811,7.21592
0.597,7.89231,7.21592
0.598,7.95534,7.02337
0.599,8.01651,6.92164
0.6,8.07516,7.02337
0.601,8.13066,6.97242
0.602,8.18238,6.97242
0.603,8.22975,6.87103
0.604,8.27224,6.8584
0.605,8.30933,6.87103
0.606,8.34059,6.8584
0.607,8.36561,6.83317
0.608,8.38406,6.83317
0.609,8.39564,6.88366
0.61,8.40015,6.92164
0.611,8.3974,6.92164
0.612,8.38731,6.92164
0.613,8.36985,7.03613
0.614,8.34503,7.06169
0.615,8.31296,7.10011
0.616,8.27378,7.10011
0.617,8.22773,7.28062
0.618,8.17508,7.34559
0.619,8.11615,7.34559
0.62,8.05135,7.24177
0.621,7.9811,7.19011
0.622,7.90589,7.19011
0.623,7.82624,7.34559
0.624,7.74272,7.47631
0.625,7.65592,7.34559
0.626,7.56646,7.56843
0.627,7.47499,7.56843
0.628,7.38215,7.66107
0.629,7.28863,7.84788
0.63,7.19507,7.84788
0.631,7.10216,7.76757
0.632,7.01055,7.76757
0.633,6.92089,7.78093
0.634,6.8338,8.02318
0.635,6.74988,7.91509
0.636,6.66971,7.91509
0.637,6.59381,7.91509
0.638,6.52267,8.06389
0.639,6.45675,8.06389
0.64,6.39646,7.70093
0.641,6.34213,7.66107
0.642,6.29406,7.72755
0.643,6.2525,7.87473
0.644,6.21761,7.90163
0.645,6.18952,7.90163
0.646,6.16829,7.88818
0.647,6.1539,7.88818
0.648,6.14629,8.06389
0.649,6.14534,8.06389
0.65,6.15086,7.68763
0.651,6.1626,7.63455
0.652,6.18026,7.63455
0.653,6.20349,7.63455
